_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
280,1997/98,S08000017, ,65plus years,Female,Total,d,180, ,1138.52, ,160, ,1012.02, 
281,1997/98,S08000019, ,0-17 years,Male,Total,d,20, ,62.98, ,10, ,31.49, 
282,1997/98,S08000019, ,0-17 years,Female,Total,d,10, ,32.7, ,10, ,32.7, 
283,1997/98,S08000019, ,18-24 years,Male,Total,d,120, ,1001.84, ,70, ,584.4, 
284,1997/98,S08000019, ,18-24 years,Female,Total,d,70, ,570.17, ,40, ,325.81, 
285,1997/98,S08000019, ,25-39 years,Male,Total,d,290, ,948.05, ,190, ,621.14, 
286,1997/98,S08000019, ,25-39 years,Female,Total,d,240, ,752.8, ,130, ,407.77, 
287,1997/98,S08000019, ,40-64 years,Male,Total,d,290, ,692.67, ,190, ,453.82, 
288,1997/98,S08000019, ,40-64 years,Female,Total,d,250, ,572.27, ,170, ,389.14, 
289,1997/98,S08000019, ,65plus years,Male,Total,d,220, ,1326.42, ,140, ,844.09, 
290,1997/98,S08000019, ,65plus years,Female,Total,d,400, ,1616.29, ,270, ,1091, 
291,1997/98,S08000020, ,0-17 years,Male,Total,d,80, ,131.45, ,80, ,131.45, 
292,1997/98,S08000020, ,0-17 years,Female,Total,d,60, ,103.47, ,60, ,103.47, 
293,1997/98,S08000020, ,18-24 years,Male,Total,d,200, ,783.55, ,140, ,548.48, 
294,1997/98,S08000020, ,18-24 years,Female,Total,d,120, ,475.96, ,80, ,317.31, 
295,1997/98,S08000020, ,25-39 years,Male,Total,d,390, ,614.06, ,290, ,456.61, 
296,1997/98,S08000020, ,25-39 years,Female,Total,d,340, ,551.7, ,240, ,389.43, 
297,1997/98,S08000020, ,40-64 years,Male,Total,d,540, ,671.97, ,370, ,460.42, 
298,1997/98,S08000020, ,40-64 years,Female,Total,d,460, ,577.96, ,320, ,402.06, 
299,1997/98,S08000020, ,65plus years,Male,Total,d,480, ,1567.3, ,310, ,1012.21, 
300,1997/98,S08000020, ,65plus years,Female,Total,d,650, ,1438.85, ,500, ,1106.81, 
301,1997/98,S08000022, ,0-17 years,Male,Total,d,40, ,114.07, ,40, ,114.07, 
